Lat,Long,pref_name_for_society,soc_id,Community marriage organization,Cousin marriages permitted,Cousin marriages permitted: subtypes,Cousin marriages preferred,Cousin marriages preferred: subtypes,Domestic organization,Marital composition: monogamy and polygamy,Marital residence with kin: alternate,Marital residence with kin: change after first years,Marital residence with kin: first years,Marital residence with kin: prevailing pattern,Organization of clan communities,Transactions at marriage: alternate type,Transactions at marriage: prevailing type,Transfer of residence at marriage: alternate,Transfer of residence at marriage: prevailing pattern,Community marriage organization_numeric,Cousin marriages permitted_numeric,Cousin marriages permitted: subtypes_numeric,Cousin marriages preferred_numeric,Cousin marriages preferred: subtypes_numeric,Domestic organization_numeric,Marital composition: monogamy and polygamy_numeric,Marital residence with kin: alternate_numeric,Marital residence with kin: change after first years_numeric,Marital residence with kin: first years_numeric,Marital residence with kin: prevailing pattern_numeric,Organization of clan communities_numeric,Transactions at marriage: alternate type_numeric,Transactions at marriage: prevailing type_numeric,Transfer of residence at marriage: alternate_numeric,Transfer of residence at marriage: prevailing pattern_numeric
-3.79,143.09,Abelam,Ie15,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,Woman exchange,Bride-wealth,No alternate,Wife to husband,5,4,1,7,4,2,0,6,1,8,8,2,6,1,2,3
-3.71,128.18,Ambonese,Ic11,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,Neolocal,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,5,5,2,7,4,3,1,5,1,11,11,2,4,1,0,3
-3.38,153.31,Tangu,Ig21,Clans,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Avunculocal,Avunculocal,Clans with barrios,Woman exchange,Bride-wealth,No alternate,Wife to husband,1,1,0,3,0,2,0,6,1,5,5,1,6,1,2,3
-3.24,144.1,Wogeo,Ie4,"Segmented, exogamy",Only second cousins,Only second cousins,None preferred,None preferred,"Polygyny, atypical cowives pattern","Polygyny, non-sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Gift exchange,No alternate,Wife to husband,4,6,3,7,4,5,3,6,1,8,8,2,4,3,2,3
-3.06,151.66,Lesu,Ig4,"Segmented, no exogamy",Only second cousins,Only second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Matrilocal,Matrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Husband to wife,5,6,3,7,4,2,0,6,1,6,6,2,4,1,2,1
-3.0,-78.0,Shuar,Se3,Agamous,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,"Polygyny, atypical cowives pattern","Polygyny, non-sororal cohabit",No alternate,Different,Uxorilocal,Neolocal,No exogamous clans,No alternate,Bride-service,No alternate,Ambi/neo-local,0,1,0,3,0,5,3,6,0,10,7,2,4,0,2,0
-3.0,-72.0,Yagua,Se4,Clans,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,No alternate,Different,Uxorilocal,Patrilocal,Clans,No alternate,Bride-service,No alternate,Wife to husband,1,4,1,7,4,3,1,6,0,10,8,0,4,0,2,3
-3.0,-70.0,Ticuna,Se2,Clans,Cross-cousin,Duolateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Uxorilocal,Different,Uxorilocal,Patrilocal,Clans,No alternate,Woman exchange,Husband to wife,Wife to husband,1,1,0,7,4,2,0,9,0,10,8,0,4,6,1,3
-3.0,-46.0,Tenetehara,Sj6,Demes,No first cousins,No first cousins,None preferred,None preferred,Large extended,Limited polygyny,No alternate,Same,Uxorilocal,Uxorilocal,No exogamous clans,No alternate,Bride-service,No alternate,Husband to wife,2,4,1,7,4,0,0,6,1,10,10,2,4,0,2,1
-3.0,18.0,Sakata,Ac24,Clans,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Virilocal,Same,Avunculocal,Avunculocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,6,4,10,1,5,5,0,4,1,2,3
-3.0,23.0,Kela,Ae21,Clans,No first cousins,No first cousins,None preferred,None preferred,Small extended,"Polygyny, sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,7,6,6,1,8,8,0,4,1,2,3
-3.0,28.0,Rega,Ae17,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,4,1,7,4,6,4,6,1,8,8,2,4,1,2,3
-3.0,30.0,Kiga,Ad13,Clans,Matrilateral cross only,Unilateral,Uni: MoBrDa,MoBrDa,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,3,7,14,3,0,4,6,1,8,8,0,4,1,2,3
-3.0,30.0,Rundi,Ae8,"Segmented, no exogamy",Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Neolocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Token bride-wealth,Ambi/neo-local,Wife to husband,5,1,0,3,0,6,4,5,1,8,8,2,4,5,0,3
-3.0,34.0,Sukuma,Ad22,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Avunculocal,Different,Uxorilocal,Virilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,5,2,7,4,6,4,3,0,10,11,2,4,1,2,3
-3.0,36.0,Sonjo,Ad39,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,4,1,7,4,2,0,6,1,8,8,2,4,1,2,3
-3.0,37.0,Chagga,Ad3,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Neolocal,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,1,5,2,7,4,6,4,5,1,8,8,0,4,1,0,3
-3.0,40.0,Giriama,Ad32,Exogamous,No first cousins,No first cousins,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,3,4,1,7,4,0,4,6,1,8,8,2,4,1,2,3
-3.0,140.0,Samarokena,Ie36,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Woman exchange,No alternate,Wife to husband,0,5,2,7,4,2,0,6,1,8,8,2,4,6,2,3
-2.93,100.23,Mentaweians,Ib7,"Segmented, no exogamy",Trilateral,Trilateral,None preferred,None preferred,"Nuclear, monogamous",Monogamous,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,No alternate,Bride-service,Husband to wife,Ambi/neo-local,5,10,6,7,4,3,1,9,1,1,1,2,4,0,1,0
-2.14,137.23,Waropen,Ie6,"Segmented, no exogamy",Matrilateral cross only,Unilateral,Uni: MoBrDa,MoBrDa,Large extended,Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Gift exchange,No alternate,Wife to husband,5,3,7,14,3,0,0,6,1,8,8,2,4,3,2,3
-2.0,18.0,Ekonda,Ae20,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",Avunculocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,5,2,7,4,7,4,3,1,8,8,2,4,1,2,3
-2.0,29.0,Bashi,Ae13,Clans,Cross-cousin,Duolateral,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,1,0,7,4,6,4,6,1,8,8,0,4,1,2,3
-2.0,30.0,Banyaruanda,Ae10,"Segmented, no exogamy",Cross-cousin,Duolateral,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,1,0,7,4,6,4,6,1,8,8,2,4,1,2,3
-2.0,36.0,Maasi,Aj2,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Neolocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,0,5,2,7,4,6,4,5,1,8,8,2,4,1,0,3
-2.0,41.0,Bajuni,Ad1,Agamous,Any first cousins,Quadrilateral,All: FaBrDa,FaBrDa,"Nuclear, monogamous",Monogamous,Uxorilocal,Different,Uxorilocal,Neolocal,No exogamous clans,No alternate,Bride-wealth,Husband to wife,Ambi/neo-local,0,0,4,0,1,3,1,9,0,10,7,2,4,1,1,0
-2.0,121.0,Toradja,Ic5,Agamous,Only second cousins,Only second cousins,None preferred,None preferred,Large extended,Monogamous,No alternate,Same,Uxorilocal,Uxorilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Husband to wife,0,6,3,7,4,0,1,6,1,10,10,2,4,1,2,1
-2.0,138.0,Soromadja,Ie33,"Segmented, no exogamy",Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Woman exchange,No alternate,Wife to husband,5,1,0,3,0,2,0,6,1,8,8,2,4,6,2,3
-2.0,147.0,Manus,Ig9,"Segmented, no exogamy",Some second only,Some second only,Some second only,Second cousin,"Nuclear, limited polygyny",Limited polygyny,Neolocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Gift exchange,Ambi/neo-local,Wife to husband,5,9,5,9,5,2,0,5,1,8,8,2,4,3,0,3
-2.0,147.0,Usiai,Ig10,"Segmented, no exogamy",Some second only,Some second only,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Gift exchange,No alternate,Wife to husband,5,9,5,7,4,6,4,6,1,8,8,2,4,3,2,3
-1.74,142.85,Aua,Ig13,"Segmented, no exogamy",Any first cousins,Quadrilateral,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, sororal cohabit",No alternate,Same,Separate,Separate,No exogamous clans,No alternate,Insignificant,No alternate,Separate,5,0,4,7,4,6,5,6,1,9,9,2,4,4,2,2
-1.47,175.06,Gilbert Onotoa,If7,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,No alternate,Bride-wealth,Husband to wife,Ambi/neo-local,5,5,2,7,4,2,0,9,1,1,1,2,4,1,1,0
-1.0,-74.0,Witoto,Se6,Clans,Cross-cousin,Duolateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-service,No alternate,Wife to husband,1,1,0,7,4,2,0,6,1,8,8,0,4,0,2,3
-1.0,32.0,Haya,Ad42,Exogamous,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,3,4,1,7,4,6,4,6,1,8,8,2,4,1,2,3
-1.0,34.0,Luo,Aj6,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,Small extended,"Polygyny, sororal separate quarters",Neolocal,Same,Patrilocal,Patrilocal,Clans with barrios,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,1,5,2,7,4,7,6,5,1,8,8,1,4,1,0,3
-1.0,35.0,Gusii,Ad12,Clans,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,6,4,6,1,8,8,0,4,1,2,3
-1.0,36.0,Kipsigis,Aj9,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,4,1,7,4,6,4,6,1,8,8,2,4,1,2,3
-1.0,37.0,Kikuyu,Ad4,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,5,2,7,4,6,4,6,1,8,8,0,4,1,2,3
-1.0,40.0,Pokomo,Ad33,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,4,1,7,4,2,0,6,1,8,8,2,4,1,2,3
-1.0,101.0,Minangkabau,Ib6,"Segmented, no exogamy",Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Large extended,Limited polygyny,Matrilocal,Same,Separate,Separate,No exogamous clans,No alternate,Insignificant,Husband to wife,Separate,5,1,0,3,0,0,0,4,1,9,9,2,4,4,1,2
-0.53,166.92,Nauruans,If13,Agamous,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Small extended,Limited polygyny,No alternate,Same,Matrilocal,Matrilocal,No exogamous clans,No alternate,Insignificant,No alternate,Husband to wife,0,1,0,3,0,7,0,6,1,6,6,2,4,4,2,1
0.0,-70.0,Tucano,Se12,Clans,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,"Polygyny, atypical cowives pattern","Polygyny, non-sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Woman exchange,No alternate,Wife to husband,1,1,0,3,0,5,3,6,1,8,8,0,4,6,2,3
0.0,20.0,Nkundo,Ae4,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",Avunculocal,Same,Patrilocal,Patrilocal,Clans with barrios,No alternate,Bride-wealth,No alternate,Wife to husband,1,5,2,7,4,0,4,3,1,8,8,1,4,1,2,3
0.0,35.0,Meru,Ad35,Clans,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,6,4,6,1,8,8,0,4,1,2,3
0.0,35.0,Nandi,Aj7,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Neolocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,0,4,1,7,4,2,0,5,1,8,8,2,4,1,0,3
0.0,36.0,Dorobo,Aa2,Clans,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,3,1,6,1,8,8,0,4,1,2,3
1.0,-79.0,Chachi,Sf3,Demes,No first cousins,No first cousins,None preferred,None preferred,Small extended,Monogamous,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,No alternate,Insignificant,Husband to wife,Ambi/neo-local,2,4,1,7,4,7,1,9,1,1,1,2,4,4,1,0
1.0,-71.0,Cubeo,Se5,Clans,Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,"Nuclear, limited polygyny",Limited polygyny,Uxorilocal,Same,Patrilocal,Patrilocal,Clans,No alternate,Woman exchange,Husband to wife,Wife to husband,1,1,0,4,3,2,0,9,1,8,8,0,4,6,1,3
1.0,-59.0,Wai-wai,Sd7,Agamous,Cross-cousin,Duolateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Different,Uxorilocal,Ambilocal,No exogamous clans,No alternate,Bride-service,No alternate,Ambi/neo-local,0,1,0,7,4,2,0,6,0,10,2,2,4,0,2,0
1.0,11.0,Fang,Ae3,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans with barrios,No alternate,Bride-wealth,No alternate,Wife to husband,1,5,2,7,4,7,4,6,1,8,8,1,4,1,2,3
1.0,14.0,Kota,Ae41,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,4,1,7,4,2,0,6,1,8,8,2,4,1,2,3
1.0,30.0,Amba,Ae1,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Avunculocal,Same,Patrilocal,Patrilocal,Clans,Bride-wealth,Woman exchange,No alternate,Wife to husband,1,5,2,7,4,6,4,3,1,8,8,0,1,6,2,3
1.0,32.0,Ganda,Ad7,Exogamous,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Virilocal,Same,Neolocal,Neolocal,No exogamous clans,No alternate,Bride-wealth,Wife to husband,Ambi/neo-local,3,4,1,7,4,6,4,10,1,7,7,2,4,1,4,0
1.0,33.0,Soga,Ad46,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,5,2,7,4,6,4,6,1,8,8,2,4,1,2,3
1.0,34.0,Gisu,Ad9,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Neolocal,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,1,5,2,7,4,6,4,5,1,8,8,0,4,1,0,3
1.0,35.0,Vugusu,Ad41,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,5,2,7,4,2,0,6,1,8,8,0,4,1,2,3
1.0,36.0,Hill Suk,Aj26,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,4,1,7,4,6,4,6,1,8,8,2,4,1,2,3
1.0,36.0,Plains Suk,Aj23,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Neolocal,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,1,5,2,7,4,6,4,5,1,8,8,0,4,1,0,3
1.0,128.0,Tobelorese,Ic10,Exogamous,No first cousins,No first cousins,None preferred,None preferred,Large extended,Monogamous,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,No alternate,Bride-wealth,Husband to wife,Ambi/neo-local,3,4,1,7,4,0,1,9,1,1,1,2,4,1,1,0
1.09,154.8,Kapingamarangi,Ii7,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,Small extended,Limited polygyny,No alternate,Different,Virilocal,Ambilocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,0,5,2,7,4,7,0,6,0,11,2,2,4,4,2,0
2.0,-65.0,Yanomami,Sd9,"Segmented, no exogamy",Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Large extended,"Polygyny, sororal cohabit",Neolocal,Same,Virilocal,Virilocal,No exogamous clans,Bride-service,Woman exchange,Ambi/neo-local,Wife to husband,5,1,0,3,0,0,5,5,1,11,11,2,0,6,0,3
2.0,10.0,Puku,Ae47,Clans,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,Woman exchange,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,6,4,6,1,8,8,0,6,1,2,3
2.0,20.0,Ngombe,Ae39,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,5,2,7,4,0,4,6,1,8,8,2,4,1,2,3
2.0,22.0,Poto,Ae29,Clans,No first cousins,No first cousins,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans with barrios,No alternate,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,0,4,6,1,8,8,1,4,1,2,3
2.0,26.0,Popoi,Ai28,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,5,2,7,4,6,4,6,1,8,8,2,4,1,2,3
2.0,28.0,Mbuti,Aa5,Exogamous,Only second cousins,Only second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,Bride-wealth,Woman exchange,Husband to wife,Ambi/neo-local,3,6,3,7,4,2,0,9,1,1,1,2,1,6,1,0
2.0,30.0,Lendu,Ai29,Exogamous,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,3,4,1,7,4,2,0,6,1,8,8,2,4,1,2,3
2.0,31.0,Alur,Aj17,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans with barrios,No alternate,Bride-wealth,No alternate,Wife to husband,1,5,2,7,4,7,4,6,1,8,8,1,4,1,2,3
2.0,32.0,Nyoro,Ad2,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,4,1,7,4,6,4,6,1,8,8,2,4,1,2,3
2.0,33.0,Lango,Aj4,Agamous,No first cousins,No first cousins,None preferred,None preferred,Minimal extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,4,1,7,4,1,4,6,1,8,8,2,4,1,2,3
2.0,34.0,Teso,Aj1,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,5,2,7,4,6,4,6,1,8,8,2,4,1,2,3
2.0,99.0,Toba Batak,Ib4,Agamous,Matrilateral cross only,Unilateral,Uni: MoBrDa,MoBrDa,Small extended,Limited polygyny,Uxorilocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,Husband to wife,Wife to husband,0,3,7,14,3,7,0,9,1,8,8,2,4,1,1,3
2.0,112.0,Iban,Ib1,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,Minimal extended,Monogamous,No alternate,Same,Ambilocal,Ambilocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,0,0,4,7,4,1,1,6,1,2,2,2,4,4,2,0
2.58,102.25,Negri Sembilan,Ej16,Clans,Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Matrilocal,Matrilocal,Clans,No alternate,Bride-wealth,No alternate,Husband to wife,1,1,0,4,3,2,0,6,1,6,6,0,4,1,2,1
3.0,-65.0,Ye'kuana,Sc16,Exogamous,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Small extended,"Polygyny, sororal cohabit",No alternate,Same,Uxorilocal,Uxorilocal,No exogamous clans,No alternate,Insignificant,No alternate,Husband to wife,3,1,0,3,0,7,5,6,1,10,10,2,4,4,2,1
3.0,-60.0,Wapishana,Sc5,Exogamous,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,"Polygyny, atypical cowives pattern","Polygyny, non-sororal cohabit",No alternate,Different,Uxorilocal,Virilocal,No exogamous clans,No alternate,Bride-service,No alternate,Wife to husband,3,1,0,3,0,5,3,6,0,10,11,2,4,0,2,3
3.0,19.0,Bwaka,Ai23,Clans,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans with barrios,No alternate,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,6,4,6,1,8,8,1,4,1,2,3
3.0,28.0,Mangbetu,Ai11,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Neolocal,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,0,4,1,7,4,6,4,5,1,11,11,2,4,1,0,3
3.0,32.0,Lugbara,Ai32,Clans,No first/second cousins,No first/second cousins,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,Bride-service,Bride-wealth,No alternate,Wife to husband,1,5,2,7,4,0,4,6,1,8,8,0,0,1,2,3
3.0,34.0,Jie,Aj21,Agamous,No first cousins,No first cousins,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Different,Uxorilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,4,1,7,4,0,4,6,0,10,8,2,4,1,2,3
3.38,172.99,Makin,If14,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,Bride-service,Gift exchange,Husband to wife,Ambi/neo-local,5,5,2,7,4,2,0,9,1,1,1,2,0,3,1,0
3.54,8.72,Bubi,Ae44,"Segmented, no exogamy",Any first cousins,Quadrilateral,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,0,4,7,4,0,4,6,1,8,8,2,4,1,2,3
